ID de Posible cliente,Propietario de Posible cliente,ID de propietario de Posible cliente,Empresa,Nombre,Apellidos,Título,Correo electrónico,Teléfono,Fax,Móvil,Sitio web,Fuente de Posible cliente,Estado de Posible cliente,Sector,Cantidad de empleados,Ingresos anuales,No participación del correo electrónico,ID de Skype,Creado por,Creado por ID,Modificado por,Modificado por ID,Hora de creación,Hora de modificación,Saludo,Correo electrónico secundario,Hora de la última actividad,Twitter,Calle,Ciudad,Estado,Código postal,País,Descripción,Calificación,Etiqueta,Tiempo de conversión de Posible cliente,Modalidad de cancelación de suscripción,Hora de cancelación de suscripción,Converted Account,Converted Account Id,Converted Contact,Converted Contact Id,Converted Deal,Converted Deal Id,ID de registro,se ha convertido
zcrm_497540000000323567,Oscar Torres Rodriguez,zcrm_497540000000323001,Cripto,Alberto Romero Blanco,League of Legends,,albertoromeroblanco@gmail.com,,,,,,Intento de contacto,,,,false,,Oscar Torres Rodriguez,zcrm_497540000000323001,Oscar Torres Rodriguez,zcrm_497540000000323001,2022-09-19 12:18:03,2022-09-19 12:18:03,,,2022-09-22 10:07:17,,,,,,,,,,,,,,,,,,,497540000000323567,false
zcrm_497540000000332402,Oscar Torres Rodriguez,zcrm_497540000000323001,Creative Business Systems,Chau,Kitzman (Sample),Junior Executive,chau-kitzman@gmail.com,555-555-5555,,555-555-5555,http://www.bentonjohnbjr.com,Advertisement,Attempted to Contact,ERP,,100000,false,chau-kitzman,Oscar Torres Rodriguez,zcrm_497540000000323001,Oscar Torres Rodriguez,zcrm_497540000000323001,2022-09-19 12:09:18,2022-09-19 12:09:52,Mr.,,2022-09-19 12:09:20,chaukitzman_sample,6649 N Blue Gum St,New Orleans,LA,70116,United States,,,,,,,,,,,,,497540000000332402,false
zcrm_497540000000332403,Oscar Torres Rodriguez,zcrm_497540000000323001,Dal Tile Corporation,Theola,Frey (Sample),Mechanical Systems Engineer,theola-frey@frey.com,555-555-5555,,555-555-5555,http://www.chanayjeffreyaesq.com,Cold Call,Contact in Future,Management ISV,,200000,false,theola-frey,Oscar Torres Rodriguez,zcrm_497540000000323001,Oscar Torres Rodriguez,zcrm_497540000000323001,2022-09-19 12:09:18,2022-09-19 12:09:52,Ms.,,2022-09-19 12:09:52,theolafrey_sample,4 B Blue Ridge Blvd,Brighton,MI,48116,United States,,,,,,,,,,,,,497540000000332403,false
zcrm_497540000000332404,Oscar Torres Rodriguez,zcrm_497540000000323001,Buckley Miller & Wright,Michael,Ruta (Sample),Computer Systems Analyst II,michael-gruta@cox.net,555-555-5555,,555-555-5555,http://www.buckleymillerwright.com,Online Store,Attempted to Contact,MSP (Management Service Provider),,850000,false,michael-gruta,Oscar Torres Rodriguez,zcrm_497540000000323001,Oscar Torres Rodriguez,zcrm_497540000000323001,2022-09-19 12:09:18,2022-09-19 12:09:52,Mr.,,2022-09-19 12:09:52,michaelgruta_sample,98 Connecticut Ave Nw,Chagrin Falls,OH,44023,United States,,,,,,,,,,,,,497540000000332404,false
zcrm_497540000000332405,Oscar Torres Rodriguez,zcrm_497540000000323001,Grayson,Yvonne,Tjepkema (Sample),Office Assistant III,yvonne-tjepkema@hotmail.com,555-555-5555,,555-555-5555,http://www.feltzprintingservice.com,External Referral,Pre-Qualified,Government/Military,,170000,false,yvonne-tjepkema,Oscar Torres Rodriguez,zcrm_497540000000323001,Oscar Torres Rodriguez,zcrm_497540000000323001,2022-09-19 12:09:18,2022-09-19 12:09:52,Ms.,,2022-09-19 12:09:52,yvonnetjepkema_sample,639 Main St,Anchorage,AK,99501,United States,,,,,,,,,,,,,497540000000332405,false
zcrm_497540000000332406,Oscar Torres Rodriguez,zcrm_497540000000323001,Printing Dimensions,Kayleigh,Lace (Sample),Cost Accountant,kayleigh-lace@yahoo.com,555-555-5555,,555-555-5555,http://www.printingdimensions.com,Partner,Not Contacted,Optical Networking,,270000,false,kayleigh-lace,Oscar Torres Rodriguez,zcrm_497540000000323001,Oscar Torres Rodriguez,zcrm_497540000000323001,2022-09-19 12:09:18,2022-09-19 12:09:53,Ms.,,2022-09-22 10:06:23,kayleighlace_sample,34 Center St,Hamilton,OH,45011,United States,,,,,,,,,,,,,497540000000332406,false
zcrm_497540000000332407,Oscar Torres Rodriguez,zcrm_497540000000323001,Chapman,Felix,Hirpara (Sample),Computer Systems Analyst I,felix-hirpara@cox.net,555-555-5555,,555-555-5555,http://www.chapmanrosseesq.com,Online Store,Attempted to Contact,Non-management ISV,,230000,false,felix-hirpara,Oscar Torres Rodriguez,zcrm_497540000000323001,Oscar Torres Rodriguez,zcrm_497540000000323001,2022-09-19 12:09:18,2022-09-19 12:09:53,Mr.,,2022-09-19 12:09:53,felixhirpara_sample,3 Mcauley Dr,Ashland,OH,44805,United States,,,,,,,,,,,,,497540000000332407,false
zcrm_497540000000332408,Oscar Torres Rodriguez,zcrm_497540000000323001,Morlong Associates,Tresa,Sweely (Sample),Executive Secretary,tresa-sweely@hotmail.com,555-555-5555,,555-555-5555,http://www.morlongassociates.com,Seminar Partner,Contacted,Storage Equipment,,190000,false,tresa-sweely,Oscar Torres Rodriguez,zcrm_497540000000323001,Oscar Torres Rodriguez,zcrm_497540000000323001,2022-09-19 12:09:18,2022-09-19 12:09:53,Ms.,,2022-09-19 12:09:53,tresasweely_sample,7 Eads St,Chicago,IL,60632,United States,,,,,,,,,,,,,497540000000332408,false
zcrm_497540000000332409,Oscar Torres Rodriguez,zcrm_497540000000323001,Kwik Kopy Printing,James,Merced (Sample),Biostatistician I,james-merced@gmail.com,555-555-5555,,555-555-5555,http://www.commercialpress.com,Web Download,Lost Lead,Large Enterprise,,650000,false,james-merced,Oscar Torres Rodriguez,zcrm_497540000000323001,Oscar Torres Rodriguez,zcrm_497540000000323001,2022-09-19 12:09:18,2022-09-19 12:09:53,Mr.,,2022-09-19 12:09:53,jamesmerced_sample,7 W Jackson Blvd,San Jose,CA,95111,United States,,,,,,,,,,,,,497540000000332409,false
zcrm_497540000000332410,Oscar Torres Rodriguez,zcrm_497540000000323001,Oh My Goodknits Inc,Carissa,Kidman (Sample),Director of Sales,carissa-kidman@yahoo.com,555-555-5555,,555-555-5555,http://www.truhlarandtruhlarattys.com,Advertisement,Contact in Future,Data/Telecom OEM,,200000,false,carissa-kidman,Oscar Torres Rodriguez,zcrm_497540000000323001,Oscar Torres Rodriguez,zcrm_497540000000323001,2022-09-19 12:09:18,2022-09-19 12:09:53,Ms.,,2022-09-19 12:09:53,carissakidman_sample,5 Boston Ave #88,Sioux Falls,SD,57105,United States,,,,,,,,,,,,,497540000000332410,false
zcrm_497540000000332411,Oscar Torres Rodriguez,zcrm_497540000000323001,Rangoni Of Florence,Christopher,Maclead (Sample),VP Accounting,christopher-maclead@gmail.com,555-555-5555,,555-555-5555,http://www.rangoniofflorence.com,Cold Call,Lost Lead,Service Provider,,850000,false,christopher-maclead,Oscar Torres Rodriguez,zcrm_497540000000323001,Oscar Torres Rodriguez,zcrm_497540000000323001,2022-09-19 12:09:18,2022-09-19 12:09:53,Mr.,,2022-09-22 10:05:25,christophermaclead_sample,37275 St Rt 17m M,Middle Island,NY,11953,United States,,,,,,,,,,,,,497540000000332411,false
zcrm_497540000000340018,Oscar Torres Rodriguez,zcrm_497540000000323001,Rosa,,Blanco Romero,,rbr.profe@gmail.com,,,,,,Contactado,,,,false,,Oscar Torres Rodriguez,zcrm_497540000000323001,Oscar Torres Rodriguez,zcrm_497540000000323001,2022-09-22 11:13:00,2022-09-22 11:15:28,,,2022-09-22 11:17:16,,,,,,,,,,,,,,,,,,,497540000000340018,false
